sample_id,condition_id,rule,L,rho,live_count,density,block_var,block_entropy,components_t0,components_t1,fine_net_1,iso_count,iso_die,iso_survive,iso_survive_isolated,iso_survive_connected,iso_orth_birth_any,iso_diag_birth_any,iso_local_window_delta_sum,iso_local_window_loss_sum,iso_local_window_gain_sum
0,GoL_L64_rho0.20,GoL,64,0.2,791,0.193115234375,0.0020398497581481934,1.1693723243127148,482,198,-284,162,108,54,12,42,116,54,-359,364,5
1,GoL_L64_rho0.20,GoL,64,0.2,804,0.1962890625,0.0025930404663085938,1.199895033308507,479,227,-252,189,118,71,15,56,136,82,-383,391,8
2,GoL_L64_rho0.20,GoL,64,0.2,850,0.20751953125,0.0032002925872802734,1.3498100368678883,485,220,-265,193,121,72,20,52,133,68,-370,375,5
3,GoL_L64_rho0.20,GoL,64,0.2,846,0.20654296875,0.0026128292083740234,1.168645033308507,512,240,-272,202,132,70,10,60,155,94,-446,455,9
4,GoL_L64_rho0.20,GoL,64,0.2,815,0.198974609375,0.002382218837738037,1.085949021713486,499,211,-288,196,139,57,13,44,146,80,-430,440,10
5,GoL_L64_rho0.20,GoL,64,0.2,829,0.202392578125,0.0019716620445251465,1.0988793155143044,501,213,-288,208,139,69,6,63,164,110,-470,473,3
6,GoL_L64_rho0.20,GoL,64,0.2,842,0.20556640625,0.002572774887084961,1.1664616437886164,520,213,-307,218,142,76,2,74,181,101,-562,562,0
7,GoL_L64_rho0.20,GoL,64,0.2,810,0.19775390625,0.002244710922241211,1.2214713865842914,510,207,-303,184,131,53,8,45,121,82,-421,424,3
8,GoL_L64_rho0.20,GoL,64,0.2,794,0.19384765625,0.002431631088256836,1.1003111621563573,487,193,-294,171,133,38,2,36,123,70,-401,402,1
9,GoL_L64_rho0.20,GoL,64,0.2,789,0.192626953125,0.0018619894981384277,1.0988793155143044,499,184,-315,217,154,63,10,53,172,97,-504,504,0
10,GoL_L64_rho0.20,GoL,64,0.2,799,0.195068359375,0.0027846693992614746,1.2674773615828188,513,200,-313,184,146,38,3,35,143,82,-431,435,4
11,GoL_L64_rho0.20,GoL,64,0.2,825,0.201416015625,0.003296792507171631,1.3915482665348513,508,226,-282,200,125,75,14,61,149,91,-455,461,6
12,GoL_L64_rho0.20,GoL,64,0.2,804,0.1962890625,0.0023488998413085938,1.2466608625579476,492,206,-286,184,147,37,2,35,131,89,-396,398,2
