scope,key,model,R2_in_sample,n,n_features,rule
global,ALL,iso_count,0.0024200300910176553,16000,1,
global,ALL,diag_class_counts,0.010040332193629653,16000,15,
global,ALL,diag_class_losses,0.01583817441105495,16000,15,
global,ALL,counts_plus_losses,0.3911587234218379,16000,30,
rule,GoL,iso_count,0.002378277730329059,8000,1,"('GoL',)"
rule,GoL,diag_class_counts,0.009258880609992581,8000,15,"('GoL',)"
rule,GoL,diag_class_losses,0.01501333533094329,8000,15,"('GoL',)"
rule,GoL,counts_plus_losses,0.3842907190960134,8000,30,"('GoL',)"
rule,HighLife,iso_count,0.002462091361473906,8000,1,"('HighLife',)"
rule,HighLife,diag_class_counts,0.013027758293255198,8000,15,"('HighLife',)"
rule,HighLife,diag_class_losses,0.01933315650809364,8000,15,"('HighLife',)"
rule,HighLife,counts_plus_losses,0.40273009549918537,8000,30,"('HighLife',)"
condition,GoL_L128_rho0.20,iso_count,0.30769243639130217,1000,1,
condition,GoL_L128_rho0.20,diag_class_counts,0.3238719289738833,1000,15,
condition,GoL_L128_rho0.20,diag_class_losses,0.5061979042289888,1000,15,
condition,GoL_L128_rho0.20,counts_plus_losses,0.5433412389098695,1000,30,
condition,GoL_L128_rho0.25,iso_count,0.39970294361433045,1000,1,
condition,GoL_L128_rho0.25,diag_class_counts,0.40740912244747296,1000,15,
condition,GoL_L128_rho0.25,diag_class_losses,0.5675011977972395,1000,15,
condition,GoL_L128_rho0.25,counts_plus_losses,0.5726733919608195,1000,30,
condition,GoL_L128_rho0.30,iso_count,0.336164279771326,1000,1,
condition,GoL_L128_rho0.30,diag_class_counts,0.36044125594617227,1000,15,
condition,GoL_L128_rho0.30,diag_class_losses,0.534734230603045,1000,15,
condition,GoL_L128_rho0.30,counts_plus_losses,0.5470934391951691,1000,30,
condition,GoL_L128_rho0.35,iso_count,0.35777493033508223,1000,1,
condition,GoL_L128_rho0.35,diag_class_counts,0.39413167808805394,1000,15,
condition,GoL_L128_rho0.35,diag_class_losses,0.5117275137137361,1000,15,
condition,GoL_L128_rho0.35,counts_plus_losses,0.5239131566515071,1000,30,
condition,GoL_L64_rho0.20,iso_count,0.3551518551346604,1000,1,
condition,GoL_L64_rho0.20,diag_class_counts,0.3661931116516127,1000,15,
condition,GoL_L64_rho0.20,diag_class_losses,0.5539020704775823,1000,15,
condition,GoL_L64_rho0.20,counts_plus_losses,0.5760201747376227,1000,30,
condition,GoL_L64_rho0.25,iso_count,0.38887248944705854,1000,1,
condition,GoL_L64_rho0.25,diag_class_counts,0.40442437108305174,1000,15,
condition,GoL_L64_rho0.25,diag_class_losses,0.5620545031677175,1000,15,
condition,GoL_L64_rho0.25,counts_plus_losses,0.5697201625683701,1000,30,
condition,GoL_L64_rho0.30,iso_count,0.4176779708026169,1000,1,
condition,GoL_L64_rho0.30,diag_class_counts,0.4426254261628928,1000,15,
condition,GoL_L64_rho0.30,diag_class_losses,0.5765098978692694,1000,15,
condition,GoL_L64_rho0.30,counts_plus_losses,0.5812332603202864,1000,30,
condition,GoL_L64_rho0.35,iso_count,0.3721250625821454,1000,1,
condition,GoL_L64_rho0.35,diag_class_counts,0.4085433603785438,1000,15,
condition,GoL_L64_rho0.35,diag_class_losses,0.5359263263506888,1000,15,
condition,GoL_L64_rho0.35,counts_plus_losses,0.5470051658339266,1000,30,
condition,HighLife_L128_rho0.20,iso_count,0.3290216620059492,1000,1,
condition,HighLife_L128_rho0.20,diag_class_counts,0.34058634376434127,1000,15,
condition,HighLife_L128_rho0.20,diag_class_losses,0.5202604748899071,1000,15,
condition,HighLife_L128_rho0.20,counts_plus_losses,0.5507813173919281,1000,30,
condition,HighLife_L128_rho0.25,iso_count,0.32748261994728634,1000,1,
condition,HighLife_L128_rho0.25,diag_class_counts,0.35573437469894664,1000,15,
condition,HighLife_L128_rho0.25,diag_class_losses,0.534244912374028,1000,15,
condition,HighLife_L128_rho0.25,counts_plus_losses,0.5494229728328568,1000,30,
condition,HighLife_L128_rho0.30,iso_count,0.37538353497404087,1000,1,
condition,HighLife_L128_rho0.30,diag_class_counts,0.4109846709465168,1000,15,
condition,HighLife_L128_rho0.30,diag_class_losses,0.5676676493197612,1000,15,
condition,HighLife_L128_rho0.30,counts_plus_losses,0.5820643312697925,1000,30,
condition,HighLife_L128_rho0.35,iso_count,0.3705335581849818,1000,1,
condition,HighLife_L128_rho0.35,diag_class_counts,0.40085613455251323,1000,15,
condition,HighLife_L128_rho0.35,diag_class_losses,0.5227659109212199,1000,15,
condition,HighLife_L128_rho0.35,counts_plus_losses,0.5362344989276804,1000,30,
condition,HighLife_L64_rho0.20,iso_count,0.33382669375348784,1000,1,
condition,HighLife_L64_rho0.20,diag_class_counts,0.3436891875545246,1000,15,
condition,HighLife_L64_rho0.20,diag_class_losses,0.5142814137083664,1000,15,
condition,HighLife_L64_rho0.20,counts_plus_losses,0.5304493118201119,1000,30,
condition,HighLife_L64_rho0.25,iso_count,0.3806014807203676,1000,1,
condition,HighLife_L64_rho0.25,diag_class_counts,0.4100104723951824,1000,15,
condition,HighLife_L64_rho0.25,diag_class_losses,0.5500575117830548,1000,15,
condition,HighLife_L64_rho0.25,counts_plus_losses,0.5612555434528202,1000,30,
condition,HighLife_L64_rho0.30,iso_count,0.38651304411574194,1000,1,
condition,HighLife_L64_rho0.30,diag_class_counts,0.40406404544927843,1000,15,
condition,HighLife_L64_rho0.30,diag_class_losses,0.5635414005417636,1000,15,
condition,HighLife_L64_rho0.30,counts_plus_losses,0.5760852916330643,1000,30,
condition,HighLife_L64_rho0.35,iso_count,0.3394546458488905,1000,1,
condition,HighLife_L64_rho0.35,diag_class_counts,0.371526509952419,1000,15,
