rule,diag_class,n_isolates,mean_local_delta,mean_local_loss,mean_local_gain,death_frac,survive_connected_frac,orth_births_mean,diag_births_mean
GoL,1,617955,-2.0161807898633395,2.0559911320403588,0.03981034217701936,1.0,0.0,1.1573674458496168,0.816467218486783
GoL,2,618011,-2.0146016818470867,2.0548873725548575,0.04028569070777057,1.0,0.0,1.1584389274624562,0.8166634574465503
GoL,3,231276,-2.272250471298362,2.3373328836541623,0.06508241235579999,0.0,0.8328274442657257,1.4004695688268562,0.5713952161054324
GoL,4,617446,-2.0187870680189035,2.058542771351665,0.039755703332761086,1.0,0.0,1.1590892158990422,0.8179597891961402
GoL,5,230971,-2.273406618146867,2.337648449372432,0.06424183122556511,0.0,0.8334422936212771,1.4027172242402726,0.5721843867844881
GoL,6,231325,-2.480760834324003,2.5346849670377174,0.05392413271371447,0.0,0.8909197017183617,1.7042948233005513,0.5724067869880038
GoL,7,93384,-2.5890944915617236,2.6434506981924097,0.0543562066306862,0.0,0.8623640023986978,1.5635547845455324,0.29892701105114367
GoL,8,618485,-2.0196027389508235,2.0595277169211865,0.03992497797036306,1.0,0.0,1.159518824223708,0.8177708432702491
GoL,9,231181,-2.477777152966723,2.5319727832304557,0.054195630263732746,0.0,0.8906181736388371,1.7049065450880478,0.5733170113460881
GoL,10,230894,-2.2684218732405346,2.333832841043942,0.06541096780340762,0.0,0.8323169939452736,1.4023534608954757,0.5716779128084749
GoL,11,93083,-2.5933414264688506,2.645671067756733,0.05232964128788286,0.0,0.8636700579053103,1.565613484739426,0.29718638204613085
GoL,12,231123,-2.272750872911826,2.3368639209425286,0.06411304803070227,0.0,0.8330629145519918,1.4029412910008956,0.5718167382735599
GoL,13,93481,-2.597137386206823,2.65115905906013,0.05402167285330709,0.0,0.8646355943988618,1.5666713021897498,0.29705501652742267
GoL,14,92650,-2.5976470588235294,2.650652995143011,0.053005936319481924,0.0,0.8656449001618997,1.5742795466810577,0.29951430113329736
GoL,15,39923,-2.5581744858853295,2.5837988127144755,0.025624326829146105,1.0,0.0,1.3348946722440698,0.0
HighLife,1,617081,-2.0132591993595654,2.0548566557712844,0.041597456411719046,1.0,0.0,1.1588446249357864,0.823710339485416
