sample_id,condition_id,rule,L,rho,live_count,density,components_t0,components_t1,fine_net_1,iso_count
0,GoL_L64_rho0.20,GoL,64,0.2,791,0.193115234375,482,198,-284,162
1,GoL_L64_rho0.20,GoL,64,0.2,804,0.1962890625,479,227,-252,189
2,GoL_L64_rho0.20,GoL,64,0.2,850,0.20751953125,485,220,-265,193
3,GoL_L64_rho0.20,GoL,64,0.2,846,0.20654296875,512,240,-272,202
4,GoL_L64_rho0.20,GoL,64,0.2,815,0.198974609375,499,211,-288,196
5,GoL_L64_rho0.20,GoL,64,0.2,829,0.202392578125,501,213,-288,208
6,GoL_L64_rho0.20,GoL,64,0.2,842,0.20556640625,520,213,-307,218
7,GoL_L64_rho0.20,GoL,64,0.2,810,0.19775390625,510,207,-303,184
8,GoL_L64_rho0.20,GoL,64,0.2,794,0.19384765625,487,193,-294,171
9,GoL_L64_rho0.20,GoL,64,0.2,789,0.192626953125,499,184,-315,217
10,GoL_L64_rho0.20,GoL,64,0.2,799,0.195068359375,513,200,-313,184
11,GoL_L64_rho0.20,GoL,64,0.2,825,0.201416015625,508,226,-282,200
12,GoL_L64_rho0.20,GoL,64,0.2,804,0.1962890625,492,206,-286,184
13,GoL_L64_rho0.20,GoL,64,0.2,834,0.20361328125,507,230,-277,203
14,GoL_L64_rho0.20,GoL,64,0.2,828,0.2021484375,512,217,-295,204
15,GoL_L64_rho0.20,GoL,64,0.2,852,0.2080078125,512,212,-300,230
16,GoL_L64_rho0.20,GoL,64,0.2,828,0.2021484375,498,224,-274,218
17,GoL_L64_rho0.20,GoL,64,0.2,803,0.196044921875,494,229,-265,178
18,GoL_L64_rho0.20,GoL,64,0.2,835,0.203857421875,449,210,-239,157
19,GoL_L64_rho0.20,GoL,64,0.2,812,0.1982421875,486,230,-256,176
20,GoL_L64_rho0.20,GoL,64,0.2,833,0.203369140625,516,203,-313,227
21,GoL_L64_rho0.20,GoL,64,0.2,849,0.207275390625,509,235,-274,190
22,GoL_L64_rho0.20,GoL,64,0.2,812,0.1982421875,499,204,-295,205
23,GoL_L64_rho0.20,GoL,64,0.2,821,0.200439453125,518,224,-294,221
24,GoL_L64_rho0.20,GoL,64,0.2,871,0.212646484375,512,229,-283,218
25,GoL_L64_rho0.20,GoL,64,0.2,813,0.198486328125,508,244,-264,198
26,GoL_L64_rho0.20,GoL,64,0.2,810,0.19775390625,474,222,-252,175
27,GoL_L64_rho0.20,GoL,64,0.2,887,0.216552734375,512,226,-286,208
28,GoL_L64_rho0.20,GoL,64,0.2,821,0.200439453125,494,199,-295,184
29,GoL_L64_rho0.20,GoL,64,0.2,803,0.196044921875,482,194,-288,178
