condition_id,rule,L,rho,mechanism,n,y_resid_sd,amplitude,intercept,within_condition_R2_z,within_condition_corr_z,raw_R2_from_mechanism_score
GoL_L128_rho0.20,GoL,128,0.2,iso_count,1000,36.64631507196908,36.699028959782865,-1.0612069583103423e-13,0.3076918015608221,0.554700312232923,0.30769243639130217
GoL_L128_rho0.20,GoL,128,0.2,local_window_loss,1000,36.64631507196908,36.69902895976875,-1.0589252883221188e-13,0.4812495994081998,0.6937222731926327,0.4812505923235537
GoL_L128_rho0.20,GoL,128,0.2,local_window_delta_loss_gain,1000,36.64631507196908,36.72450563025983,-1.0621897949990864e-13,0.5066634172739606,0.7118045476447706,0.5066657140477764
GoL_L128_rho0.20,GoL,128,0.2,fate_all,1000,36.64631507196908,36.78069311289257,-1.0608940612758039e-13,0.535069584636428,0.7314893894311492,0.5350767268503556
GoL_L128_rho0.25,GoL,128,0.25,iso_count,1000,43.50503266895115,43.567612478309556,2.586241218917956e-14,0.3997021189479383,0.6322206447232884,0.39970294361433056
GoL_L128_rho0.25,GoL,128,0.25,local_window_loss,1000,43.50503266895115,43.52605834780315,2.6731425603256688e-14,0.5489036022503633,0.7408803751855976,0.5489037303351518
GoL_L128_rho0.25,GoL,128,0.25,local_window_delta_loss_gain,1000,43.50503266895115,43.59621941917051,2.617274093681409e-14,0.5733159403713237,0.7571779503979521,0.5733184485688436
GoL_L128_rho0.25,GoL,128,0.25,fate_all,1000,43.50503266895115,44.08111521446332,2.6851243375496182e-14,0.5798087112570616,0.7615167457935575,0.5799077541240101
GoL_L128_rho0.30,GoL,128,0.3,iso_count,1000,47.818633201697885,47.88741790926615,1.5565119171665725e-13,0.3361635861977903,0.5797967572963185,0.3361642797713261
GoL_L128_rho0.30,GoL,128,0.3,local_window_loss,1000,47.818633201697885,47.887417909272244,1.56544375711063e-13,0.519841718140716,0.7210012418015826,0.5198427906794245
GoL_L128_rho0.30,GoL,128,0.3,local_window_delta_loss_gain,1000,47.818633201697885,47.91838202732783,1.5645991560529037e-13,0.5385312703007408,0.7338484883736509,0.5385336038882924
