split_type,heldout,model,n_train,n_test,n_features,test_R2,test_corr_pred_target,mean_prediction,features
leave_density,rho=0.2,iso_count,12000,4000,1,0.0024883615348977317,0.051183368006921595,0.281831037828716,iso_count
leave_density,rho=0.2,local_window_loss,12000,4000,1,0.006896334606463661,0.08838236337569073,0.33813356921235677,iso_local_window_loss_sum
leave_density,rho=0.2,local_window_delta_loss_gain,12000,4000,3,-0.26632592100781416,0.19095057078373023,-14.324033861104068,"iso_local_window_delta_sum,iso_local_window_loss_sum,iso_local_window_gain_sum"
leave_density,rho=0.2,fate_core,12000,4000,4,0.012796893280423993,0.15938100360200827,3.1481526568700384,"iso_die,iso_survive_connected,iso_orth_birth_any,iso_diag_birth_any"
leave_density,rho=0.2,fate_all,12000,4000,8,0.3190463117452662,0.59212680671649,4.88214597865225,"iso_die,iso_survive_isolated,iso_survive_connected,iso_orth_birth_any,iso_diag_birth_any,iso_local_window_delta_sum,iso_local_window_loss_sum,iso_local_window_gain_sum"
leave_density,rho=0.2,class_counts,12000,4000,15,-0.0480903909746595,0.043781498591765035,6.234002437809262,"class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
leave_density,rho=0.2,class_losses,12000,4000,15,-0.07385204519460209,0.08305056725431076,8.117852365491489,"class_01_loss,class_02_loss,class_03_loss,class_04_loss,class_05_loss,class_06_loss,class_07_loss,class_08_loss,class_09_loss,class_10_loss,class_11_loss,class_12_loss,class_13_loss,class_14_loss,class_15_loss"
leave_density,rho=0.2,class_counts_plus_losses,12000,4000,30,0.3357722656412856,0.5977929542216442,-3.1822057655534515,"class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count,class_01_loss,class_02_loss,class_03_loss,class_04_loss,class_05_loss,class_06_loss,class_07_loss,class_08_loss,class_09_loss,class_10_loss,class_11_loss,class_12_loss,class_13_loss,class_14_loss,class_15_loss"
leave_density,rho=0.25,iso_count,12000,4000,1,0.002367264855588358,0.04911000991657682,-0.14954231302985754,iso_count
leave_density,rho=0.25,local_window_loss,12000,4000,1,0.007882144658603707,0.09077537191594359,-0.35597498358587415,iso_local_window_loss_sum
leave_density,rho=0.25,local_window_delta_loss_gain,12000,4000,3,0.05015594183036032,0.2581425974121947,-3.809377452785716,"iso_local_window_delta_sum,iso_local_window_loss_sum,iso_local_window_gain_sum"
leave_density,rho=0.25,fate_core,12000,4000,4,0.007443884630892739,0.14483191676665866,3.9201977664046326,"iso_die,iso_survive_connected,iso_orth_birth_any,iso_diag_birth_any"
