split_type,heldout,model,n_train,n_test,n_features,test_R2_z,test_corr_z,features
leave_density,rho=0.2,iso_count,12000,4000,1,0.33010817522466984,0.5755069923825347,iso_count
leave_density,rho=0.2,local_window_loss,12000,4000,1,0.505999853891816,0.7115532411580922,iso_local_window_loss_sum
leave_density,rho=0.2,local_window_delta_loss_gain,12000,4000,3,0.5301654050769338,0.7281324895756295,"iso_local_window_delta_sum,iso_local_window_loss_sum,iso_local_window_gain_sum"
leave_density,rho=0.2,fate_core,12000,4000,4,0.3283541719572909,0.5808337708504635,"iso_die,iso_survive_connected,iso_orth_birth_any,iso_diag_birth_any"
leave_density,rho=0.2,fate_all,12000,4000,8,0.5122610871090665,0.7157519600950818,"iso_die,iso_survive_isolated,iso_survive_connected,iso_orth_birth_any,iso_diag_birth_any,iso_local_window_delta_sum,iso_local_window_loss_sum,iso_local_window_gain_sum"
leave_density,rho=0.2,class_counts,12000,4000,15,0.2847441008968734,0.547298164879656,"class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
leave_density,rho=0.2,class_losses,12000,4000,15,0.4809490070046185,0.6944973500269316,"class_01_loss,class_02_loss,class_03_loss,class_04_loss,class_05_loss,class_06_loss,class_07_loss,class_08_loss,class_09_loss,class_10_loss,class_11_loss,class_12_loss,class_13_loss,class_14_loss,class_15_loss"
leave_density,rho=0.2,class_counts_plus_losses,12000,4000,30,0.4881617250779706,0.6992069519664151,"class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count,class_01_loss,class_02_loss,class_03_loss,class_04_loss,class_05_loss,class_06_loss,class_07_loss,class_08_loss,class_09_loss,class_10_loss,class_11_loss,class_12_loss,class_13_loss,class_14_loss,class_15_loss"
leave_density,rho=0.25,iso_count,12000,4000,1,0.37341876857571876,0.6112517762031113,iso_count
leave_density,rho=0.25,local_window_loss,12000,4000,1,0.5405562279648221,0.7353622218993964,iso_local_window_loss_sum
leave_density,rho=0.25,local_window_delta_loss_gain,12000,4000,3,0.5564200671500223,0.7460911721788045,"iso_local_window_delta_sum,iso_local_window_loss_sum,iso_local_window_gain_sum"
leave_density,rho=0.25,fate_core,12000,4000,4,0.4352670219196675,0.6600105862952189,"iso_die,iso_survive_connected,iso_orth_birth_any,iso_diag_birth_any"
leave_density,rho=0.25,fate_all,12000,4000,8,0.56015446861143,0.7486301822973878,"iso_die,iso_survive_isolated,iso_survive_connected,iso_orth_birth_any,iso_diag_birth_any,iso_local_window_delta_sum,iso_local_window_loss_sum,iso_local_window_gain_sum"
leave_density,rho=0.25,class_counts,12000,4000,15,0.3795498674291443,0.6162188999326682,"class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
leave_density,rho=0.25,class_losses,12000,4000,15,0.5436897036405823,0.7374921330620843,"class_01_loss,class_02_loss,class_03_loss,class_04_loss,class_05_loss,class_06_loss,class_07_loss,class_08_loss,class_09_loss,class_10_loss,class_11_loss,class_12_loss,class_13_loss,class_14_loss,class_15_loss"
leave_density,rho=0.25,class_counts_plus_losses,12000,4000,30,0.5469416827775155,0.739653496514996,"class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count,class_01_loss,class_02_loss,class_03_loss,class_04_loss,class_05_loss,class_06_loss,class_07_loss,class_08_loss,class_09_loss,class_10_loss,class_11_loss,class_12_loss,class_13_loss,class_14_loss,class_15_loss"
leave_density,rho=0.3,iso_count,12000,4000,1,0.37798190281690036,0.6151160257073178,iso_count
leave_density,rho=0.3,local_window_loss,12000,4000,1,0.5479445055227807,0.740532964212996,iso_local_window_loss_sum
leave_density,rho=0.3,local_window_delta_loss_gain,12000,4000,3,0.5608955167657133,0.749031853647756,"iso_local_window_delta_sum,iso_local_window_loss_sum,iso_local_window_gain_sum"
leave_density,rho=0.3,fate_core,12000,4000,4,0.45440591479991765,0.675813636802901,"iso_die,iso_survive_connected,iso_orth_birth_any,iso_diag_birth_any"
leave_density,rho=0.3,fate_all,12000,4000,8,0.5652347966552467,0.751890132339305,"iso_die,iso_survive_isolated,iso_survive_connected,iso_orth_birth_any,iso_diag_birth_any,iso_local_window_delta_sum,iso_local_window_loss_sum,iso_local_window_gain_sum"
