scope,condition_id,rule,L,rho,horizon,model,n,R2,corr,shuffle_R2,shuffle_corr,features
condition,GoL_L128_rho0.20,GoL,128,0.2,1,iso_count,1000,0.3076918015608221,0.554700312232923,0.00037393494611448475,0.022328903424769304,iso_count
condition,GoL_L128_rho0.20,GoL,128,0.2,1,class_counts,1000,0.32219422700995237,0.568906964634153,0.014818627477673929,0.13900693824151933,"class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
condition,GoL_L128_rho0.20,GoL,128,0.2,1,iso_plus_class_counts,1000,0.32297323745624973,0.568891847892702,0.014824842168573715,0.1387792416722655,"iso_count,class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
condition,GoL_L128_rho0.20,GoL,128,0.2,5,iso_count,1000,0.18270906596578607,0.42744869464607393,0.004778297683768473,0.07142063970022103,iso_count
condition,GoL_L128_rho0.20,GoL,128,0.2,5,class_counts,1000,0.20868107311665962,0.45800701792116955,0.02218702179556198,0.16953287035725081,"class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
condition,GoL_L128_rho0.20,GoL,128,0.2,5,iso_plus_class_counts,1000,0.2091676746758373,0.45795063084057486,0.02248031434862907,0.16806990472470812,"iso_count,class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
condition,GoL_L128_rho0.20,GoL,128,0.2,10,iso_count,1000,0.1784698818419005,0.4224607974558346,6.811850103982664e-07,0.0009530197691328026,iso_count
condition,GoL_L128_rho0.20,GoL,128,0.2,10,class_counts,1000,0.19068531141955236,0.4376999336464644,0.022907121791043594,0.17256200376093747,"class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
condition,GoL_L128_rho0.20,GoL,128,0.2,10,iso_plus_class_counts,1000,0.18804070137700224,0.43692064564401245,0.022907203956811673,0.17256255140477322,"iso_count,class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
condition,GoL_L128_rho0.20,GoL,128,0.2,25,iso_count,1000,0.16014246181216096,0.40018167408229705,2.514014669663389e-06,0.0018308521402822936,iso_count
condition,GoL_L128_rho0.20,GoL,128,0.2,25,class_counts,1000,0.1702523796931693,0.41357699561099986,0.007725839786253963,0.10170525028129122,"class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
condition,GoL_L128_rho0.20,GoL,128,0.2,25,iso_plus_class_counts,1000,0.16782953725726246,0.41274158810165423,0.007725799875183403,0.10170409165593372,"iso_count,class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
condition,GoL_L128_rho0.20,GoL,128,0.2,50,iso_count,1000,0.14360236400809356,0.3789524691361714,0.00022185417035791577,0.017198998821948443,iso_count
condition,GoL_L128_rho0.20,GoL,128,0.2,50,class_counts,1000,0.15393693157213517,0.39320028104726196,0.013046555122755543,0.13207180896228762,"class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
condition,GoL_L128_rho0.20,GoL,128,0.2,50,iso_plus_class_counts,1000,0.15206222945325276,0.39277260554849874,0.013114189053258674,0.13203825332111857,"iso_count,class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
condition,GoL_L128_rho0.20,GoL,128,0.2,100,iso_count,1000,0.13900620140597386,0.3728387422609949,0.00022433989808334776,0.017295082078757004,iso_count
condition,GoL_L128_rho0.20,GoL,128,0.2,100,class_counts,1000,0.14340106521318774,0.384500330240541,0.009899233548560038,0.12040709293926968,"class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
