condition_id,rule,L,rho,n,resid_R2_iso,resid_R2_iso_ci_low,resid_R2_iso_ci_high,resid_iso_slope_std,resid_iso_slope_std_ci_low,resid_iso_slope_std_ci_high,resid_iso_slope_raw,resid_iso_slope_raw_ci_low,resid_iso_slope_raw_ci_high,resid_iso_intercept_raw
GoL_L128_rho0.20,GoL,128,0.2,1000,0.13900872773076056,0.10091432702543326,0.1776572804485133,-0.3728387422609948,-0.42149402849898293,-0.317669960019059,-0.5390189519289291,-0.6207243559112225,-0.45254083104959386,427.03129643827094
GoL_L128_rho0.25,GoL,128,0.25,1000,0.19641050594464993,0.15275169372577554,0.24296312909718487,-0.44318224913081744,-0.4929128970123414,-0.3908345676979971,-0.7076113952685157,-0.796735976830128,-0.6194067879414147,628.1777704812532
GoL_L128_rho0.30,GoL,128,0.3,1000,0.22688931196164286,0.18030531189414814,0.27615415739889826,-0.47632899550798175,-0.5255036713154031,-0.4246236918429912,-0.7806310123068658,-0.8665135557632635,-0.695565452447665,699.7287560844195
GoL_L128_rho0.35,GoL,128,0.35,1000,0.20142626631560623,0.15596835061603856,0.2523468118349288,-0.4488053768791169,-0.5023410337665031,-0.3949281712625802,-0.7674404681242576,-0.8752525413925181,-0.6648376942726865,645.0705506009085
GoL_L64_rho0.20,GoL,64,0.2,1000,0.1390902855969648,0.10193332165761114,0.17790542453632682,-0.3729481004066986,-0.4217882664349552,-0.31926694092730623,-0.6032025174519283,-0.6853637786410622,-0.5133355767481539,119.55775497155946
GoL_L64_rho0.25,GoL,64,0.25,1000,0.199015989740566,0.15597123947537644,0.25007589947746484,-0.44611208203832176,-0.5000739755920733,-0.3949319243461083,-0.7205240284931373,-0.8108958052132419,-0.6335773988398038,159.81799371200583
GoL_L64_rho0.30,GoL,64,0.3,1000,0.25452435416601893,0.2102112678194966,0.30145282586362654,-0.5045040675415997,-0.5490462622952555,-0.45848768705221693,-0.8280432340231019,-0.9202833858067595,-0.7357068895815079,185.7532826019344
GoL_L64_rho0.35,GoL,64,0.35,1000,0.2121733543637906,0.16425297063942762,0.2581120446126468,-0.46062278967045295,-0.5080469484098714,-0.40528009917436497,-0.7580171529240789,-0.8605261354971848,-0.6592833071991466,159.148733325022
HighLife_L128_rho0.20,HighLife,128,0.2,1000,0.12513244868029016,0.08926599061013385,0.16347639724273283,-0.35374065172141317,-0.40432209680430387,-0.29877338181364654,-0.5779484368709454,-0.6650336783644495,-0.48847744798273046,457.28782991165053
HighLife_L128_rho0.25,HighLife,128,0.25,1000,0.15778756111798498,0.11921420123924657,0.19982396050396564,-0.3972248243979537,-0.4470166791894023,-0.3452740455852268,-0.6595431759962523,-0.7481508159249572,-0.5640016671837788,584.8631021781965
HighLife_L128_rho0.30,HighLife,128,0.3,1000,0.16600007082179624,0.12640325238436811,0.20538232010425272,-0.40743106266188933,-0.4531892039116299,-0.35553163985358366,-0.639484344958359,-0.724665715538481,-0.5470745261481047,572.9702992705503
HighLife_L128_rho0.35,HighLife,128,0.35,1000,0.2134579622717364,0.1728054193822742,0.2545800376759449,-0.4620151104365919,-0.5045592475622734,-0.41569839008873727,-0.791705583240742,-0.8948116718930188,-0.6996622815500426,664.5204564098666
HighLife_L64_rho0.20,HighLife,64,0.2,1000,0.13388463982685872,0.10011302012368252,0.17426853649032145,-0.3659025004381061,-0.4174529464488733,-0.31640629912777246,-0.631605483617708,-0.7287553228206821,-0.5377286105330619,124.84377149735974
HighLife_L64_rho0.25,HighLife,64,0.25,1000,0.13531460742201007,0.10199725582287683,0.17389541394045255,-0.367851338752505,-0.4170074963323434,-0.31937004324165164,-0.5901596789859181,-0.6815440064869299,-0.5016261421401068,129.70116312977223
HighLife_L64_rho0.30,HighLife,64,0.3,1000,0.2384379643193253,0.19470860965354428,0.28641552362500916,-0.48830110005950766,-0.5351779995956297,-0.44125781280606685,-0.8390735445469785,-0.9416090334704762,-0.7496493364968927,188.40892998675673
HighLife_L64_rho0.35,HighLife,64,0.35,1000,0.18056934977454964,0.13884603748941746,0.22282641680355897,-0.4249345241028901,-0.47204347442429123,-0.37262032453328486,-0.7806761446785176,-0.8732341462626951,-0.6825297714110997,163.75931216463397
