scope,rule,L,rho,target,null_type,R2,R2_std,deltaR2,deltaR2_ci_low,deltaR2_ci_high
condition,GoL,64.0,0.2,target_fine_net,iso_shuffle,0.024757601399535444,0.03829602004843157,0.0019597475376109674,,
condition,GoL,64.0,0.2,target_fine_net,target_shuffle,-0.004626375039617159,0.00386976171836149,-0.027424228901541635,,
condition,GoL,64.0,0.2,target_delta_components,iso_shuffle,0.024757601399535444,0.03829602004843157,0.0019597475376109674,,
condition,GoL,64.0,0.2,target_delta_components,target_shuffle,-0.014973392369896832,0.004451149706615287,-0.03777124623182131,,
condition,GoL,64.0,0.2,target_delta_density,iso_shuffle,0.08562964864220893,0.03933238683975468,-2.9139546145889872e-05,,
condition,GoL,64.0,0.2,target_delta_density,target_shuffle,-0.009851028889421798,0.01024601544488897,-0.09550981707777662,,
condition,GoL,64.0,0.2,target_delta_block_var,iso_shuffle,-0.004139592141838922,0.002431229415181466,-0.0008834844278014847,,
condition,GoL,64.0,0.2,target_delta_block_var,target_shuffle,-0.01119563439574862,0.013047642531911553,-0.007939526681711183,,
condition,GoL,64.0,0.2,target_delta_block_entropy,iso_shuffle,-0.007836659297436687,0.005957662059058086,-0.0003465913047725694,,
condition,GoL,64.0,0.2,target_delta_block_entropy,target_shuffle,-0.011989647607151311,0.01159363213153934,-0.004499579614487193,,
condition,GoL,64.0,0.2,target_future_density,iso_shuffle,-0.008420911999026481,0.007306839264000865,1.6230907844151307e-05,,
condition,GoL,64.0,0.2,target_future_density,target_shuffle,-0.00572001963089952,0.004925878602495411,0.0027171232759711124,,
condition,GoL,64.0,0.2,target_future_live_count,iso_shuffle,-0.008420911999026481,0.007306839264000865,1.6230907844151307e-05,,
condition,GoL,64.0,0.2,target_future_live_count,target_shuffle,-0.0026921360222212478,0.0026441445618480123,0.0057450068846493845,,
condition,GoL,64.0,0.25,target_fine_net,iso_shuffle,-0.004867848025646326,0.0076065755730247465,-0.0033102460202014904,,
condition,GoL,64.0,0.25,target_fine_net,target_shuffle,-0.004741983520984672,0.0039787768812481646,-0.003184381515539836,,
condition,GoL,64.0,0.25,target_delta_components,iso_shuffle,-0.004867848025646326,0.0076065755730247465,-0.0033102460202014904,,
condition,GoL,64.0,0.25,target_delta_components,target_shuffle,-0.00801086075717361,0.00557510570630622,-0.006453258751728775,,
condition,GoL,64.0,0.25,target_delta_density,iso_shuffle,0.13135956954010647,0.033919065658288255,-0.0023859964537625844,,
condition,GoL,64.0,0.25,target_delta_density,target_shuffle,-0.011525834132807588,0.007999369188144005,-0.14527140012667664,,
condition,GoL,64.0,0.25,target_delta_block_var,iso_shuffle,-0.005111977273362545,0.002536349095608813,-0.0017693525987929172,,
condition,GoL,64.0,0.25,target_delta_block_var,target_shuffle,-0.0024619843533902454,0.008050347876928252,0.0008806403211793819,,
condition,GoL,64.0,0.25,target_delta_block_entropy,iso_shuffle,-0.007546909839933802,0.0065276924758060914,-0.0006378707147687073,,
