condition_id,rule,L,rho,horizon,n,real_R2,real_R2_ci_low,real_R2_ci_high,real_slope_raw,real_slope_raw_ci_low,real_slope_raw_ci_high,iso_shuffle_R2,iso_shuffle_R2_ci_low,iso_shuffle_R2_ci_high,iso_shuffle_slope_raw,iso_shuffle_slope_raw_ci_low,iso_shuffle_slope_raw_ci_high,target_shuffle_R2,target_shuffle_R2_ci_low,target_shuffle_R2_ci_high,target_shuffle_slope_raw,target_shuffle_slope_raw_ci_low,target_shuffle_slope_raw_ci_high
GoL_L128_rho0.20,GoL,128,0.2,1,1000,0.30769243639130217,0.26549988996880264,0.3495756796217809,-0.5883446146928465,-0.6359726850421498,-0.5346944649392227,0.0015411091699490953,2.9672539911318466e-06,0.004072063472308992,-0.04163802048685803,-0.06241684831780245,0.058622209728540355,0.00016956429770853543,3.183013104507415e-07,0.003890001298801482,0.013812516975980888,-0.05957118173484285,0.06287859037997577
GoL_L128_rho0.20,GoL,128,0.2,5,1000,0.18271238655463262,0.14209332355462456,0.22295120857007875,-0.518811888780519,-0.5784982069394683,-0.45042643054121334,0.0003672046327435341,4.1127215185676776e-07,0.005039042489141992,0.023258408835410225,-0.07465161382545488,0.07649496582783528,0.002587107217691398,6.634658232196334e-07,0.004820590039282827,0.062057131700779956,-0.06834014246463155,0.07390432959091947
GoL_L128_rho0.20,GoL,128,0.2,10,1000,0.17847312538701976,0.13973164317952247,0.21848065919018184,-0.5518140058024296,-0.6220183574814786,-0.4797917574293609,0.00041896099461169456,1.3678888920454215e-06,0.004863805871572889,-0.026735794887923565,-0.07553941877501878,0.08133973377123827,0.006390800952258302,6.558666554384864e-07,0.004592048792777967,0.10469378413909429,-0.07791320302711521,0.08186754375060873
GoL_L128_rho0.20,GoL,128,0.2,25,1000,0.16014537227130976,0.1227344693185763,0.20051861008915076,-0.5365627730493067,-0.599219673953277,-0.46295709204887886,0.00019114845090739685,1.6989402148420707e-06,0.004423718924646896,0.018537396214974074,-0.07192062886506308,0.07903539718011386,0.0004250635300843131,1.682602588876092e-06,0.004706527816187602,0.027757011989192074,-0.07448297156180528,0.08232299153796044
GoL_L128_rho0.20,GoL,128,0.2,50,1000,0.14360497386440096,0.10575978909233581,0.1796388418049481,-0.5528786763140051,-0.6263833978178808,-0.4686674504537399,0.0010197719865574495,9.078895959913072e-07,0.005229057807977871,-0.04659042132310531,-0.09140616945351049,0.09940119653348732,0.00012950852696080872,2.3035876690086223e-06,0.004365750368103728,0.016766133808150962,-0.09084078027290651,0.09313545667606418
GoL_L128_rho0.20,GoL,128,0.2,100,1000,0.13900872773076056,0.10164783425333658,0.1822664936621862,-0.5390189519289291,-0.6278121808889602,-0.44308025834273607,0.003262923735810941,1.9088812607287455e-06,0.004711181754726907,-0.08258220270867488,-0.09245382782005888,0.08135606622433131,2.1451399322525155e-05,5.550873205112384e-07,0.0059552311167422566,0.0068152763928765615,-0.08733649379486635,0.08874412639494089
GoL_L128_rho0.20,GoL,128,0.2,200,1000,0.13626351366926703,0.09720464958306917,0.172743719953235,-0.5667229752090013,-0.6527502906635498,-0.4694490515381684,5.8334222198697105e-05,1.6040338704975678e-06,0.005534365445429351,0.011725806781484658,-0.09883502866280179,0.09765914220482497,0.001379983471690327,1.5350012841586214e-06,0.004919645941392401,0.05860985644838527,-0.09173444237439234,0.10034465751319907
GoL_L128_rho0.25,GoL,128,0.25,1,1000,0.39970294361433045,0.3539178039140227,0.4405819579556631,-0.8008639525383058,-0.8549851282772454,-0.7405663901253138,0.007342107024231881,6.28103773797628e-07,0.004487904803513073,-0.10854265197303183,-0.07372198920977652,0.07561870019763374,0.000602961220143694,2.220635091929047e-06,0.005239055483007523,-0.03156710000714518,-0.08082010102337564,0.0748048979366714
GoL_L128_rho0.25,GoL,128,0.25,5,1000,0.2992010169668633,0.2513199011979881,0.34500090401389205,-0.7110310675630966,-0.7722729978038383,-0.639801347727327,0.00023161427229623222,5.859699648669281e-07,0.005169221617156829,-0.01978288849659599,-0.0767431408282442,0.08043461544049701,0.0014927627724170556,1.3054855050959047e-06,0.004500459604184677,0.051129317271888894,-0.07490740475602803,0.07642067137045569
GoL_L128_rho0.25,GoL,128,0.25,10,1000,0.24753363240327797,0.19857314764853162,0.2988504507903507,-0.6621867038551369,-0.7346172845844382,-0.5886759044405155,0.0008583861541070492,1.1202487385814088e-06,0.005612587200537834,0.038994620732836924,-0.08060858382530395,0.09239540109306721,8.010218845222461e-06,3.992903718297302e-06,0.0037795565964411798,-0.0037901120734320677,-0.07156105495610425,0.07431528195949667
