scope,rule,horizon,n_conditions,mean_real_R2,mean_iso_shuffle_R2,mean_target_shuffle_R2,mean_real_slope,mean_iso_shuffle_slope,mean_target_shuffle_slope,frac_real_CI_negative,frac_iso_shuffle_CI_negative,frac_target_shuffle_CI_negative,all_real_slopes_negative,all_target_shuffle_near_zero
rule_horizon,GoL,1,8,0.36689524600981527,0.0024592741581156846,0.00015620908706534542,-0.8120582662392488,-0.015300131253772229,0.0006710937472463882,1.0,0.0,0.0,True,True
rule_horizon,GoL,5,8,0.28722660648165227,0.0008164999825834712,0.0017789295536705524,-0.7210785559120813,0.006347528790517607,0.02677132194565291,1.0,0.0,0.0,True,True
rule_horizon,GoL,10,8,0.26634198389337627,0.0010158769981112176,0.002155816718497558,-0.718031715631827,-0.01908331607574213,0.021050410136676623,1.0,0.0,0.0,True,True
rule_horizon,GoL,25,8,0.22802509481340616,0.0003479938031604457,0.0004873104425253544,-0.7061846077423467,-0.0030267343675475615,0.004796047219320791,1.0,0.0,0.0,True,True
rule_horizon,GoL,50,8,0.20545571449083655,0.0017911797488527476,0.0005457401240249876,-0.6964905166566631,0.014448190943085425,-0.0019134281306995892,1.0,0.0,0.0,True,True
rule_horizon,GoL,100,8,0.19606734947749999,0.001315987585201031,0.0008358254290059958,-0.7130610950651018,-0.014017063560481687,0.006119788158407243,1.0,0.0,0.0,True,True
rule_horizon,GoL,200,8,0.18749984964203265,0.0009513177810925727,0.000793123919793165,-0.7096998465902015,-0.021893562879309554,0.01328664494601728,1.0,0.0,0.0,True,True
rule_horizon,HighLife,1,8,0.35535215494384326,0.0018204692881418488,0.0017929481815069787,-0.7837607115134317,-0.004349260220580021,0.0042253541924418235,1.0,0.0,0.0,True,True
rule_horizon,HighLife,5,8,0.2744187676792521,0.0008135580574468032,0.0008983816971770836,-0.699319304689777,0.00795201577722237,-0.004340523830009365,1.0,0.0,0.0,True,True
rule_horizon,HighLife,10,8,0.2537899050188591,0.00080664908454256,0.0009948583213837264,-0.7061180265221958,0.0005422008044539267,-0.012752850743017328,1.0,0.0,0.0,True,True
rule_horizon,HighLife,25,8,0.22495575014851782,0.001177061367232668,7.075934412779927e-05,-0.6997026778415947,-0.004911375664431875,0.007895402201497152,1.0,0.0,0.0,True,True
rule_horizon,HighLife,50,8,0.19838948470031226,0.0009174553490974569,0.0009990754049177125,-0.7023637699630776,-0.003354021674351346,0.01547247898774425,1.0,0.0,0.0,True,True
rule_horizon,HighLife,100,8,0.16882307552931894,0.00039405883233264993,0.0008775578827857483,-0.6887745491119276,-0.004055662697646572,-0.00713720867074856,1.0,0.0,0.0,True,True
rule_horizon,HighLife,200,8,0.16287541277777118,0.0004454633544198894,0.0004147437452618752,-0.7078036977075026,-0.0011609866119085565,0.007609677343006863,1.0,0.0,0.0,True,True
global_horizon,ALL,1,16,0.3611237004768293,0.0021398717231287667,0.000974578634286162,-0.7979094888763403,-0.009824695737176125,0.002448223969844107,1.0,0.0,0.0,True,True
global_horizon,ALL,5,16,0.2808226870804522,0.0008150290200151372,0.001338655625423818,-0.7101989303009292,0.007149772283869989,0.011215399057821774,1.0,0.0,0.0,True,True
global_horizon,ALL,10,16,0.26006594445611764,0.0009112630413268888,0.0015753375199406422,-0.7120748710770114,-0.009270557635644102,0.004148779696829649,1.0,0.0,0.0,True,True
global_horizon,ALL,25,16,0.226490422480962,0.0007625275851965568,0.00027903489332657683,-0.7029436427919707,-0.003969055015989717,0.006345724710408972,1.0,0.0,0.0,True,True
global_horizon,ALL,50,16,0.2019225995955744,0.0013543175489751022,0.0007724077644713501,-0.6994271433098704,0.0055470846343670405,0.006779525428522329,1.0,0.0,0.0,True,True
global_horizon,ALL,100,16,0.18244521250340948,0.0008550232087668405,0.000856691655895872,-0.7009178220885147,-0.00903636312906413,-0.0005087102561706566,1.0,0.0,0.0,True,True
global_horizon,ALL,200,16,0.1751876312099019,0.000698390567756231,0.0006039338325275201,-0.708751772148852,-0.011527274745609054,0.010448161144512073,1.0,0.0,0.0,True,True
