condition_id,rule,L,rho,horizon,n,resid_R2_iso_embedded,delta_R2_iso_embedded,resid_R2_singleton_comp,delta_R2_singleton_comp,resid_R2_small_comp_2,delta_R2_small_comp_2,resid_R2_small_comp_3,delta_R2_small_comp_3,resid_R2_small_comp_4,delta_R2_small_comp_4,resid_R2_small_comp_le4,delta_R2_small_comp_le4,resid_R2_orth_deg0,delta_R2_orth_deg0,resid_R2_orth_deg0_diag0,delta_R2_orth_deg0_diag0,resid_R2_orth_deg0_diag_ge1,delta_R2_orth_deg0_diag_ge1,resid_R2_moore_deg0,delta_R2_moore_deg0,resid_R2_moore_deg1,delta_R2_moore_deg1,resid_R2_moore_deg2,delta_R2_moore_deg2,resid_R2_boundary_cell,delta_R2_boundary_cell,resid_R2_component_count_t0,delta_R2_component_count_t0,resid_R2_block_var,delta_R2_block_var,resid_R2_block_entropy,delta_R2_block_entropy
GoL_L128_rho0.20,GoL,128,0.2,1,1000,0.3370020532058866,0.3643611656612201,0.5233676209292732,0.5231881078806281,0.0006747605555594838,0.0006987424785114271,5.206808846192068e-06,5.358779934683255e-06,0.0078120230594463935,0.008588479259909909,0.4995661387065953,0.5403791476524309,0.5233676209292732,0.5231881078806281,0.03686485390048222,0.041960162283439684,0.3370020532058866,0.3643611656612201,0.03686485390048222,0.041960162283439684,0.028316962179818828,0.029194942165162052,0.00032388761723212145,0.0004854661543179928,5.42091172621717e-05,0.02469130329617719,0.45927899152754725,0.5654722212685172,0.016795455598024978,0.016878989354566998,0.003237182463771582,0.0032352866084938148
GoL_L128_rho0.20,GoL,128,0.2,5,1000,0.2103439898300098,0.2270725744656409,0.3973307125083496,0.3965867403131015,0.006990674159775723,0.007228056842014552,0.005178162730499314,0.005321144143157985,0.03119790845895587,0.03424626985957069,0.3872840807325164,0.41828305815036015,0.3973307125083496,0.3965867403131015,0.056281168844356966,0.06396211131323115,0.2103439898300098,0.2270725744656409,0.056281168844356966,0.06396211131323115,0.06273479261001846,0.06458095540100728,0.00635506189848678,0.009510852318185381,2.3568347272018286e-05,0.01071854530801608,0.36256919528853737,0.44571847717571145,0.013639145168040101,0.013686009668161025,0.005146293981593386,0.005135411072245466
GoL_L128_rho0.20,GoL,128,0.2,10,1000,0.18761060637061178,0.20322599080376091,0.33878912502639946,0.33931479848200163,0.008988708663429601,0.009325821314250193,0.0006191285514330902,0.0006384067161164797,0.02877991247857281,0.031700385971715095,0.35646165815427167,0.3863142584844338,0.33878912502639946,0.33931479848200163,0.041931612707445276,0.047817683646788844,0.18761060637061178,0.20322599080376091,0.041931612707445276,0.047817683646788844,0.06690227491341039,0.06910733898650012,0.00427589510827564,0.006421167253155113,2.4416783877989623e-05,0.011142495425898957,0.3274416539100816,0.4039158975028553,0.008386604141892517,0.008444289633822155,0.003092523872234132,0.003096570472940652
GoL_L128_rho0.20,GoL,128,0.2,25,1000,0.16217680263840428,0.17199921378816108,0.25654056002701975,0.2515621185219771,0.0062624883328434855,0.0063613981837113975,0.00014950889079135,0.00015093831583157247,0.011267754564323829,0.012151456179566034,0.2820277909796163,0.29925105209693126,0.25654056002701975,0.2515621185219771,0.019584482898323485,0.021866281915893793,0.16217680263840428,0.17199921378816108,0.019584482898323485,0.021866281915893793,0.06019775581331133,0.06088067393270924,0.002158665102441115,0.003173862259910454,1.0547966863616587e-05,0.004712795852342744,0.24998557905868724,0.3019171915183513,0.004555354319411675,0.0044907099403962425,0.0010189059375954601,0.0009988904613028593
GoL_L128_rho0.20,GoL,128,0.2,50,1000,0.09881639122337083,0.10159093518481543,0.20219305123309506,0.19219570227499994,0.007041579258243225,0.006933682702656707,0.0003034648731022882,0.0002969813306992197,0.00522747933124923,0.005464765264645899,0.24399442091649715,0.2509642828472106,0.20219305123309506,0.19219570227499994,0.03543333588494535,0.03834980111637776,0.09881639122337083,0.10159093518481543,0.03543333588494535,0.03834980111637776,0.03432583981362625,0.03365182042910875,0.0005612136026980075,0.0007998696795987748,1.4308945039842591e-05,0.0061973457664008524,0.21100388429063432,0.24703106907347694,0.006888972720583086,0.006583177242546756,0.003986889659858717,0.003788839690702206
GoL_L128_rho0.20,GoL,128,0.2,100,1000,0.1523645135537428,0.15692347093121795,0.21352600463464477,0.20333227844657398,0.009220435567325436,0.009095434200722341,0.0010809741559992814,0.0010597761451075494,0.0034821880493328683,0.003646779590120275,0.24865319405295971,0.25621477525999226,0.21352600463464477,0.20333227844657398,0.008774142959677045,0.009513359059073578,0.1523645135537428,0.15692347093121795,0.008774142959677045,0.009513359059073578,0.03358959145265972,0.0329890812251189,0.0012765110053821749,0.0018226098635216736,8.70210176573405e-06,0.0037757251851381346,0.2209902766827242,0.2591865140775076,0.005609760031987432,0.0053703609244353245,0.003754671288841327,0.003574555486798192
GoL_L128_rho0.20,GoL,128,0.2,200,1000,0.12355737479641293,0.12648448135032975,0.21621183253655574,0.2046442312880533,0.002898733005476828,0.002842135049223593,5.327587660552968e-05,5.191512796487441e-05,0.01027076458018028,0.010691153507502826,0.2284618327167498,0.23398514200376852,0.21621183253655574,0.2046442312880533,0.024165908148437998,0.026043347061999955,0.12355737479641293,0.12648448135032975,0.024165908148437998,0.026043347061999955,0.028727056135840146,0.028042783398325333,2.534524121999837e-05,3.5969141932934434e-05,5.8196792365183825e-06,0.0025098037457080835,0.20772462413076143,0.24215403644927225,0.015480187681562785,0.01472990371108085,0.007389991517560368,0.006992919951852583
GoL_L128_rho0.25,GoL,128,0.25,1,1000,0.3508345748555015,0.34032346593697427,0.3730914774084588,0.373056741098337,0.006059619247526293,0.005848427559085767,0.013807408559526224,0.013543959481498669,0.0066429592627187395,0.00655096434128577,0.5162494281275343,0.5038231313567202,0.3730914774084588,0.373056741098337,0.0031005788460797268,0.003672849697326952,0.3508345748555015,0.34032346593697427,0.0031005788460797268,0.003672849697326952,0.018787244795491098,0.018890442428017185,0.056181652271243165,0.06867159391118671,9.506850367635433e-05,0.018190176678001824,0.5156421249998695,0.5034793891200676,0.01387144196712875,0.013514585798239609,0.012552926374959639,0.012137207262264305
GoL_L128_rho0.25,GoL,128,0.25,5,1000,0.2505503025362531,0.24688600579433573,0.3260798826837241,0.3312040226221258,0.01615351295371059,0.015836995598940362,0.0002672753276903306,0.0002663203629269528,0.0004538173431345438,0.0004546076801099641,0.3923354612429113,0.38894493118680606,0.3260798826837241,0.3312040226221258,0.01933408129666192,0.023264619298143163,0.2505503025362531,0.24688600579433573,0.01933408129666192,0.023264619298143163,0.05456659302509426,0.055733704047364,0.002315106977607173,0.0028745225336280766,6.292329441792699e-05,0.012229923616593585,0.4157826634743964,0.41239341055702805,0.005346943524892178,0.0052917432040501255,0.0015521434289479386,0.0015244657462558653
GoL_L128_rho0.25,GoL,128,0.25,10,1000,0.2176425364797353,0.2164219641668772,0.28363882772022864,0.2907323053242802,0.022416162361875158,0.022178036238911236,0.0001778296361730769,0.00017881570393452062,0.0033924183896524296,0.0034294233593137324,0.3586919916309007,0.3588461130063537,0.28363882772022864,0.2907323053242802,0.01695302941054322,0.02058617871179147,0.2176425364797353,0.2164219641668772,0.01695302941054322,0.02058617871179147,0.04843538062663266,0.04992404878980328,0.0010796755169717454,0.0013528321643324626,1.948487630187845e-05,0.003821782422119502,0.38179130360008984,0.3821442995622575,0.0010562071081928748,0.001054868352416416,0.0002882342712093866,0.0002856850082386675
