predictor,mean_resid_R2,min_resid_R2,max_resid_R2,mean_delta_R2,frac_positive_resid_R2
component_count_t0,0.35223078408409597,0.16628294968129143,0.5664895067393153,0.3706958122935425,1.0
small_comp_le4,0.33032085427604324,0.17539351584791807,0.5332236972854394,0.35143444771161336,1.0
singleton_comp,0.27356263161953326,0.1374234876445688,0.5233676209292732,0.2802324131140726,1.0
orth_deg0,0.27356263161953326,0.1374234876445688,0.5233676209292732,0.2802324131140726,1.0
iso_embedded,0.23415762547111454,0.08150805872600853,0.40285586506102733,0.23066035872312293,1.0
orth_deg0_diag_ge1,0.23415762547111454,0.08150805872600853,0.40285586506102733,0.23066035872312293,1.0
moore_deg1,0.032546592816423074,0.00033460867207202316,0.07823190150848858,0.03454606691810153,1.0
moore_deg2,0.029159223415133054,2.534524121999837e-05,0.20311878588945098,0.02902132001564575,1.0
small_comp_2,0.021606749858514,0.0001460822176670984,0.06573888753064538,0.021274916933314358,1.0
orth_deg0_diag0,0.012020826364184212,2.6928841717621665e-06,0.06727781075245742,0.014036389584537262,1.0
moore_deg0,0.012020826364184212,2.6928841717621665e-06,0.06727781075245742,0.014036389584537262,1.0
small_comp_3,0.011991188808363942,3.9920357984835064e-06,0.06942406823775549,0.011331384017883334,1.0
block_var,0.00910197422087204,5.40016870739235e-05,0.03247785394323177,0.00871937174292492,1.0
small_comp_4,0.007879688985121914,1.0941704332578794e-06,0.037309390299174905,0.007799658716016594,1.0
block_entropy,0.006022921434491491,1.53706721706115e-06,0.019417897475234702,0.0058189628669133315,1.0
boundary_cell,0.00019511726134950117,4.1194958444457086e-08,0.001312520288276442,0.011557510496480882,1.0
